countries ,summer_gold,summer_silver,summer_bronze,winter_gold,winter_silver,winter_bronze
Australia,164,173,210,6,7,6
Austria,20,35,41,71,88,91
Belgium,44,56,57,2,2,4
Brazil,37,42,71,0,0,0
Bulgaria,54,88,82,1,2,3
Canada,71,109,146,77,72,76
China,262,199,173,22,32,23
Cuba,84,69,82,0,0,0
Czechoslovakia,49,49,45,2,8,15
Denmark,48,78,79,0,1,0
Finland,101,85,119,45,65,65
France,223,251,277,41,42,55
Germany,201,207,247,104,98,65
United Team of Germany,28,54,36,8,6,5
East Germany,153,129,127,39,36,35
West Germany,56,67,81,11,15,13
Great Britain,284,318,314,12,5,17
Greece,35,45,41,0,0,0
Hungary,181,154,176,2,2,6
Italy,217,188,213,42,43,56
Japan,169,150,178,17,28,31
Kenya,35,42,36,0,0,0
South Korea,96,91,100,33,30,16
Netherlands,95,105,122,53,49,45
New Zealand,53,33,51,2,2,2
Norway,62,51,50,148,133,124
Poland,72,89,137,7,7,9
Romania,90,97,121,0,0,1
Russia,148,126,151,47,39,35
Soviet Union,395,319,296,78,57,59
Unified Team,45,38,29,9,6,8
Spain,48,72,49,1,1,3
Sweden,148,176,179,65,51,60
Switzerland,53,79,74,63,47,58
Turkey,41,26,37,0,0,0
Ukraine,35,36,68,3,2,4
United States,1060,831,738,113,122,95
